age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preferred_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Duo plan,Music,Pop,Night,Relaxation and stress relief,leisure time,Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Shorter,Dissatisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Kpop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time",Others,5,Rarely,Spiritual and devotional,Story telling,Both,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling",recommendations,5,Several times a week,None,None,None,Both,Satisfied
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,Student Plan,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Student Plan,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Afternoon,Social gatherings or parties,While Traveling,recommendations,4,Rarely,Comedy,Conversational,unknown Podcasters,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,4,Several times a week,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Individual Plan,Podcast,classical,Morning,Uplifting and motivational,Workout session,Playlists,1,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Duo plan,Yes,Duo plan,Podcast,classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Podcast,classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Interview,Well known individuals,Longer,Ok
20-35,Female,1 year to 2 years,Computer or laptop,Free,Yes,Individual Plan,Podcast,Rap,Afternoon,Sadness or melancholy,Study Hours,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Individual Plan,Podcast,classical,Afternoon,Sadness or melancholy,While Traveling,Playlists,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Music,Rap,Morning,Uplifting and motivational,While Traveling,Radio,3,Once a week,Lifestyle and Health,Interview,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Duo plan,Yes,Duo plan,Podcast,classical,Morning,Uplifting and motivational,Study Hours,Radio,3,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Student Plan,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,5,Daily,Health and Fitness,Educational,Well known individuals,Shorter,Very Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Podcast,Rap,Morning,Sadness or melancholy,Workout session,Playlists,4,Several times a week,Lifestyle and Health,Interview,Well known individuals,Longer,Satisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Duo plan,Podcast,classical,Afternoon,Sadness or melancholy,Workout session,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Duo plan,Music,classical,Afternoon,Sadness or melancholy,"Study Hours, While Traveling, leisure time","Playlists, Others",2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
20-35,Female,6 months to 1 year,"Computer or laptop, Wearable devices",Duo plan,Yes,Duo plan,Podcast,Rap,Morning,Uplifting and motivational,"While Traveling, Workout session, leisure time","Playlists, Radio, Others",2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Individual Plan,Yes,Individual Plan,Podcast,Pop,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Radio",3,Several times a week,Health and Fitness,Story telling,Both,Longer,Satisfied
20-35,Others,1 year to 2 years,Computer or laptop,Free,Yes,Family Plan,Podcast,classical,Afternoon,Uplifting and motivational,"Study Hours, While Traveling, Workout session","Playlists, Radio, Others",3,Once a week,Sports,Interview,unknown Podcasters,Shorter,Ok
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Duo plan,No,Duo plan,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","Playlists, Others",2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Very Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free,No,Duo plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Others",3,Once a week,Sports,Interview,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Family Plan,No,Family Plan,Podcast,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Radio",3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Duo plan,Yes,Duo plan,Music,classical,Morning,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, Workout session","recommendations, Playlists, Radio",3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Individual Plan,Yes,Individual Plan,Podcast,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, Study Hours, While Traveling","recommendations, Radio, Others",2,Several times a week,Health and Fitness,Story telling,Both,Longer,Ok
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free,No,Duo plan,Podcast,classical,Afternoon,Social gatherings or parties,"Study Hours, While Traveling",Radio,3,Rarely,Sports,Conversational,unknown Podcasters,Longer,Ok
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free,Yes,Family Plan,Music,classical,Afternoon,Sadness or melancholy,While Traveling,"Playlists, Radio",3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
35-60,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free,No,Family Plan,Music,classical,Morning,Uplifting and motivational,While Traveling,Radio,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
35-60,Female,Less than 6 months,"Smartphone, Computer or laptop",Duo plan,No,Duo plan,Podcast,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","recommendations, Playlists, Radio",2,Once a week,Sports,Interview,unknown Podcasters,Longer,Ok
35-60,Female,6 months to 1 year,"Smart speakers or voice assistants, Wearable devices",Free,No,Duo plan,Podcast,Melody,Afternoon,Uplifting and motivational,While Traveling,Playlists,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Duo plan,Yes,Duo plan,Podcast,classical,Afternoon,Sadness or melancholy,Workout session,Playlists,2,Several times a week,Health and Fitness,Story telling,Both,Both,Dissatisfied
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free,No,Duo plan,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session",Playlists,3,Once a week,Health and Fitness,Interview,Well known individuals,Both,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Family Plan,No,Family Plan,Music,classical,Night,Sadness or melancholy,Workout session,Radio,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Wearable devices",Duo plan,Yes,Duo plan,Podcast,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session",Radio,3,Once a week,Health and Fitness,Interview,Both,Longer,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Individual Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Others,4,Rarely,Health and Fitness,None,Both,Shorter,Ok
35-60,Female,1 year to 2 years,Smart speakers or voice assistants,Duo plan,Yes,Duo plan,Podcast,Rap,Afternoon,Uplifting and motivational,While Traveling,Others,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Individual Plan,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy",Study Hours,Playlists,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
20-35,Male,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session","recommendations,Others, Social media",3,Never,Comedy,Conversational,Well known individuals,Longer,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Duo plan,Yes,Duo plan,Music,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2,Several times a week,Lifestyle and Health,Educational,unknown Podcasters,Longer,Dissatisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Family Plan,No,Family Plan,Music,classical,Night,Sadness or melancholy,While Traveling,Others,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Podcast,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","Radio, Others",3,Several times a week,Lifestyle and Health,Interview,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Duo plan,Yes,Duo plan,Podcast,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational",Office hours,recommendations,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Computer or laptop,Duo plan,No,Duo plan,Podcast,Rap,Afternoon,Uplifting and motivational,Workout session,Radio,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Duo plan,Podcast,classical,Afternoon,Sadness or melancholy,"Office hours, While Traveling, Workout session","recommendations, Radio, Others",2,Once a week,Lifestyle and Health,Educational,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free,Yes,Duo plan,Podcast,Rap,Afternoon,Uplifting and motivational,"Study Hours, While Traveling, Workout session","recommendations, Playlists, Radio",4,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,"Computer or laptop, Wearable devices",Free,No,Duo plan,Podcast,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational","Study Hours, Workout session","recommendations, Playlists, Radio",3,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Individual Plan,No,Individual Plan,Music,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy",Workout session,Radio,2,Several times a week,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Individual Plan,Yes,Individual Plan,Podcast,Melody,Morning,"Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling","Playlists, Others",3,Several times a week,Lifestyle and Health,Story telling,unknown Podcasters,Longer,Very Satisfied
20-35,Others,1 year to 2 years,Computer or laptop,Family Plan,No,Family Plan,Music,classical,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Once a week,Sports,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free,No,Duo plan,Podcast,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy",While Traveling,"Playlists, Radio",3,Several times a week,Sports,Story telling,Both,Longer,Ok
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Family Plan,No,Family Plan,Music,Melody,Afternoon,Sadness or melancholy,While Traveling,Others,2,Once a week,Sports,Conversational,Both,Longer,Ok
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Family Plan,Yes,Family Plan,Podcast,Melody,Afternoon,Sadness or melancholy,Workout session,Others,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Duo plan,Music,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Duo plan,Yes,Duo plan,Podcast,classical,Morning,Sadness or melancholy,While Traveling,Playlists,3,Once a week,Sports,Interview,Both,Longer,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Family Plan,Music,classical,Afternoon,Sadness or melancholy,"While Traveling, leisure time",Others,3,Once a week,Health and Fitness,Educational,unknown Podcasters,Both,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,"Others, Social media",2,Rarely,Health and Fitness,Educational,Well known individuals,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Individual Plan,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Several times a week,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",leisure time,Playlists,3,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,classical,Morning,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, leisure time","recommendations, Playlists",3,Daily,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,classical,Night,Sadness or melancholy,leisure time,Others,3,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,Free,Yes,Student Plan,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Before bed ","recommendations, Playlists",3,Never,None,None,None,None,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,Yes,Individual Plan,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,None,Story telling,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Individual Plan,Music,Pop,Morning,Uplifting and motivational,"While Traveling, leisure time",Others,3,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Others",1,Rarely,Finance related and current affairs,Story telling,Both,Shorter,Ok
20-35,Female,6 months to 1 year,"Smartphone, Wearable devices",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, Workout session",Others,4,Never,Food and cooking,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,None,None,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,Office hours,Playlists,3,Rarely,None,Story telling,Both,Both,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,No,Individual Plan,Music,Melody,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Comedy,Conversational,Well known individuals,Both,Ok
20-35,Male,More than 2 years,Smartphone,Free,Yes,Individual Plan,Music,Rap,Night,Uplifting and motivational,leisure time,"Playlists, Others",4,Rarely,Lifestyle and Health,Educational,Both,Both,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Individual Plan,Music,classical,Night,Relaxation and stress relief,Workout session,recommendations,4,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,Radio,3,Several times a week,None,None,None,None,Ok
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling",Others,3,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free,No,Duo plan,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session",Playlists,3,Once a week,Lifestyle and Health,Story telling,Both,Both,Ok
20-35,Female,Less than 6 months,Smartphone,Individual Plan,Yes,Individual Plan,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling","recommendations, Playlists, Radio",5,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,5,Rarely,None,None,None,None,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Individual Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time","recommendations, Playlists",4,Rarely,Murder Mystery ,Story telling,Both,Both,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Night,Relaxation and stress relief,While Traveling,Others,4,Never,Health and Fitness,Interview,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,Yes,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Individual Plan,Music,Melody,Morning,Relaxation and stress relief,"Office hours, While Traveling","recommendations, Playlists",4,Rarely,Health and Fitness,Story telling,Well known individuals,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Student Plan,Yes,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, leisure time","recommendations, Playlists, Radio",4,Rarely,Comedy,Story telling,Both,Both,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Night,Relaxation and stress relief,While Traveling,Playlists,5,Never,None,None,None,None,Dissatisfied
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Duo plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Once a week,Food and cooking,Conversational,Both,Both,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Podcast,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, Workout session, leisure time",Radio,1,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Music,classical,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Radio, Others",3,Several times a week,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Individual Plan,Music,Melody,Night,Social gatherings or parties,While Traveling,"Others, Friends",4,Rarely,Comedy,None,None,None,Dissatisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Podcast,Melody,Morning,Relaxation and stress relief,While Traveling,"recommendations, Others",5,Several times a week,Health and Fitness,Story telling,Both,Both,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Comedy,Conversational,Both,Both,Ok
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists, Others",3,Rarely,"Political, informative, topics that interests me",Conversational,Both,Both,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time",Playlists,4,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Male,Less than 6 months,Smartphone,Free,Yes,Duo plan,Music,Electronic/Dance,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Others, Social media",3,Rarely,Sports,Educational,Well known individuals,Shorter,Dissatisfied
20-35,Female,1 year to 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Melody,Night,Sadness or melancholy,leisure time,recommendations,3,Never,None,Conversational,Well known individuals,Shorter,Satisfied
20-35,Male,More than 2 years,Smartphone,Free,No,Student Plan,Music,classical,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4,Never,None,None,None,None,Ok
60+,Female,1 year to 2 years,Smartphone,Free,No,Duo plan,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free,No,Free,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free,No,Free,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling","recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Both,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Student Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Radio",3,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Individual Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Individual Plan,Music,Kpop,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,Playlists,3,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Radio",4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,"Smartphone, Wearable devices",Free,No,Student Plan,Music,Pop,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Sports,Interview,Both,Shorter,Ok
20-35,Male,1 year to 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session","recommendations, Playlists",3,Never,None,None,None,None,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Family Plan,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
20-35,Female,Less than 6 months,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free,No,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, leisure time","recommendations, Radio",4,Rarely,Novels,Story telling,Both,Both,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,Yes,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","Playlists, Others",3,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,No,Individual Plan,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,3,Rarely,Food and cooking,Conversational,unknown Podcasters,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Music,Melody,Night,Uplifting and motivational,leisure time,Others,4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Rarely,None,Conversational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Free,Yes,Family Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Several times a week,Health and Fitness,Story telling,Both,Shorter,Very Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,No,Individual Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5,Several times a week,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
